"","SQ","Region","Name.x","Site","Quad","CH..cm.","Tot","Tt","Hw","Sf","Drift","Halimeda","Bat","Pen","O.Calc","Epiphyte.Load","Notes","Name.y","Lat","Long"
"359","SOK10","Biscayne","Soldier Key","SOK",10,NA,37,15,5,15,2,NA,NA,NA,NA,NA,"","SOK10",-80.16198847,25.58988965
"360","SOK11","Biscayne","Soldier Key","SOK",11,NA,52,40,5,5,1,1,NA,NA,NA,NA,"","SOK11",-80.16192461,25.58992875
"361","SOK12","Biscayne","Soldier Key","SOK",12,NA,71,2,15,50,2,2,NA,NA,NA,NA,"","SOK12",-80.16193656,25.58986269
"362","SOK13","Biscayne","Soldier Key","SOK",13,NA,55,50,NA,5,NA,NA,NA,NA,NA,NA,"","SOK13",-80.16202233,25.58988145
"363","SOK14","Biscayne","Soldier Key","SOK",14,NA,55,50,NA,NA,2,3,NA,NA,NA,NA,"","SOK14",-80.16207681,25.5898606
"364","SOK15","Biscayne","Soldier Key","SOK",15,NA,52,50,NA,NA,2,NA,NA,NA,NA,NA,"","SOK15",-80.16210377,25.58987511
"365","SOK16","Biscayne","Soldier Key","SOK",16,NA,48,45,NA,2,1,NA,NA,NA,NA,NA,"","SOK16",-80.16212492,25.58987755
"366","SOK17","Biscayne","Soldier Key","SOK",17,NA,43,40,NA,1,NA,2,NA,NA,NA,NA,"","SOK17",-80.16214207,25.58987305
"367","SOK18","Biscayne","Soldier Key","SOK",18,NA,53,40,NA,5,5,3,NA,NA,NA,NA,"","SOK18",-80.16214575,25.58987971
"368","SOK19","Biscayne","Soldier Key","SOK",19,NA,43,30,NA,10,2,1,NA,NA,NA,NA,"","SOK19",-80.16215321,25.58989953
"369","SOK2","Biscayne","Soldier Key","SOK",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SOK2",-80.16214505,25.59014713
"370","SOK20","Biscayne","Soldier Key","SOK",20,NA,85,80,NA,NA,5,NA,NA,NA,NA,NA,"","SOK20",-80.16229134,25.59017508
"371","SOK21","Biscayne","Soldier Key","SOK",21,NA,85,80,NA,NA,5,NA,NA,NA,NA,NA,"","SOK21",-80.16229364,25.59022275
"372","SOK22","Biscayne","Soldier Key","SOK",22,NA,80,55,NA,NA,10,15,NA,NA,NA,NA,"","SOK22",-80.16226245,25.59033558
"373","SOK23","Biscayne","Soldier Key","SOK",23,NA,75,65,NA,NA,5,5,NA,NA,NA,NA,"","SOK23",-80.16220238,25.59037561
"374","SOK24","Biscayne","Soldier Key","SOK",24,NA,43,NA,3,NA,15,25,NA,NA,NA,NA,"","SOK24",-80.1621289,25.59039291
"375","SOK25","Biscayne","Soldier Key","SOK",25,NA,70,30,NA,NA,20,20,NA,NA,NA,NA,"","SOK25",-80.16207301,25.59034403
"376","SOK26","Biscayne","Soldier Key","SOK",26,NA,45,20,NA,NA,10,15,NA,NA,NA,NA,"","SOK26",-80.16205553,25.59027814
"377","SOK27","Biscayne","Soldier Key","SOK",27,NA,50,20,NA,15,NA,15,NA,NA,NA,NA,"","SOK27",-80.16199904,25.59019892
"378","SOK28","Biscayne","Soldier Key","SOK",28,NA,32,30,1,NA,NA,NA,NA,1,NA,NA,"","SOK28",-80.16205639,25.59015588
"379","SOK3","Biscayne","Soldier Key","SOK",3,NA,11,NA,10,NA,1,NA,NA,NA,NA,NA,"","SOK3",-80.16217184,25.59015575
"380","SOK30","Biscayne","Soldier Key","SOK",30,NA,43,5,NA,NA,8,30,NA,NA,NA,NA,"","SOK30",-80.16209873,25.59027044
"381","SOK4","Biscayne","Soldier Key","SOK",4,NA,20,5,15,NA,NA,NA,NA,NA,NA,NA,"","SOK4",-80.16215918,25.59012441
"382","SOK5","Biscayne","Soldier Key","SOK",5,NA,60,50,NA,NA,10,NA,NA,NA,NA,NA,"","SOK5",-80.16220192,25.59012637
"383","SOK6","Biscayne","Soldier Key","SOK",6,NA,61,50,NA,10,1,NA,NA,NA,NA,NA,"","SOK6",-80.16215177,25.59004244
"384","SOK7","Biscayne","Soldier Key","SOK",7,NA,47,40,NA,5,1,1,NA,NA,NA,NA,"","SOK7",-80.16204832,25.59005532
"385","SOK8","Biscayne","Soldier Key","SOK",8,NA,50,5,NA,40,5,NA,NA,NA,NA,NA,"","SOK8",-80.16203959,25.58999774
"386","SOK9","Biscayne","Soldier Key","SOK",9,NA,53,40,NA,3,NA,10,NA,NA,NA,NA,"","SOK9",-80.16197106,25.58997314
